CLI;CDG_UTC;CDG_Nivel4;DESC_Nivel4;CDG_Nivel5;DESC_Nivel5;CDG_Nivel6;DESC_Nivel6;LINE_DESC
BAL;0007004;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007005;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007006;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007007;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007008;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007009;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007010;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0008001;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0008002;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0008003;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0009001;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0012001;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0012002;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0013001;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0014001;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0014002;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0014003;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0014004;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0014005;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0015001;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0015002;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0015003;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0015004;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0017001;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0017002;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0017003;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0020001;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0020002;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0020003;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0021001;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0021002;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0021003;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0023001;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0023002;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0023003;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0023004;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0023005;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0023006;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0023007;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0023008;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0025001;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0025002;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0025003;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0025004;3010000;3010000;3011100;3011100;3011102;3011102;BAL
BAL;0026001;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0026002;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0026003;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0026004;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0027001;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0027002;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0028001;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0028002;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0029001;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0029002;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0029003;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0032001;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0032002;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0032003;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0032004;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0032005;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0033001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0033002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0033003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0033004;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0033005;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034004;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034005;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034006;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034007;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034008;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034009;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034010;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034011;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0034012;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0035001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
